ZIP,SE_T002_002,PCT_SE_T005_002,PCT_SE_T005_003,PCT_SE_T005_004,PCT_SE_T005_005,PCT_SE_T005_006,PCT_SE_T005_007,PCT_SE_T005_008,PCT_SE_T005_009,PCT_SE_T005_010,PCT_SE_T005_011,PCT_SE_T005_012,PCT_SE_T005_013,PCT_SE_T005_014,PCT_SE_T005_015,PCT_SE_T005_016,PCT_SE_T005_017,PCT_SE_T005_018,PCT_SE_T005_019,PCT_SE_T005_020,PCT_SE_T005_021,PCT_SE_T005_022,PCT_SE_T005_023,PCT_SE_T005_024,PCT_SE_T005_025,PCT_SE_T005_026,PCT_SE_T005_027,PCT_SE_T018_002,PCT_SE_T018_003,PCT_SE_T018_004,PCT_SE_T018_005,PCT_SE_T018_011,PCT_SE_T018_013,PCT_SE_T018_014,PCT_SE_T018_017,PCT_SE_T018_018,PCT_SE_T018_019,PCT_SE_T022_002,PCT_SE_T022_003,PCT_SE_T022_004,PCT_SE_T022_005,PCT_SE_T022_006,PCT_SE_T023_002,PCT_SE_T023_003,PCT_SE_T023_004,PCT_SE_T023_005,PCT_SE_T023_006,PCT_SE_T023_007,PCT_SE_T023_008,PCT_SE_T023_009,PCT_SE_T150_002,PCT_SE_T150_003,PCT_SE_T150_004,PCT_SE_T150_005,PCT_SE_T150_006,PCT_SE_T150_007,PCT_SE_T150_008,PCT_SE_T033_002,PCT_SE_T033_003,PCT_SE_T033_004,PCT_SE_T033_005,PCT_SE_T033_006,PCT_SE_T033_007,SE_T057_001,PCT_SE_T081_002,PCT_SE_T081_003,SE_T083_001,SE_T157_001,PCT_SE_T094_002,PCT_SE_T094_003,PCT_SE_T095_002,PCT_SE_T095_003,PCT_SE_T096_002,PCT_SE_T096_003,PCT_SE_T096_004,PCT_SE_T097_002,PCT_SE_T097_003,PCT_SE_T097_004,PCT_SE_T097_005,PCT_SE_T097_006,PCT_SE_T097_007,PCT_SE_T097_008,PCT_SE_T097_009,PCT_SE_T097_010,PCT_SE_T097_011,PCT_SE_T097_012,SE_T098_001,SE_T101_001,SE_T104_001,PCT_SE_T129_002,PCT_SE_T129_003,PCT_SE_T129_004,PCT_SE_T129_005,PCT_SE_T129_006,PCT_SE_T129_007,PCT_SE_T129_008,PCT_SE_T129_009,PCT_SE_T129_010,SE_T147_001,PCT_SE_T130_002,PCT_SE_T130_003,PCT_SE_T130_004,PCT_SE_T130_005,PCT_SE_T130_006,SE_T141_001,SE_T142_001
19102,23055.16,49.84,1.63,0.25,0.28,0,6.52,21.06,5.42,6.87,4.94,2.07,0.8,0,50.16,3.31,0,0.37,0.3,7.63,18.63,3.54,3.88,4.96,3.47,2.71,1.38,7.56,7.56,6.23,1.33,92.44,12.61,2.74,77.09,35.68,41.41,59.24,26.15,0.93,3.88,9.8,10.49,1.33,1.33,0,9.16,3.65,5.51,89.51,0.75,99.25,93.26,81.91,43.96,22.24,7.35,69.66,0,69.66,65.83,3.83,30.34,79095,10.56,89.44,74082,0.5144,21.92,78.08,82.82,17.18,15.38,26.19,58.42,6.32,2.08,4.25,1.67,2.11,6.95,0.82,9.16,72.97,0,0,1960,309400,1921,94.21,8.74,32.68,22.01,13.62,12.78,3.25,1.13,5.79,25,67.8,7.35,5.21,11.87,7.76,2029,577
19103,36763.26,44.39,1.23,0.22,0.49,0.49,2.76,16.05,5.9,5.07,4.02,4.43,2.66,1.09,55.61,1.24,0.58,0.62,0.18,6.68,19.33,5.03,4.15,5.17,5.81,3.7,3.11,5.04,5.04,4.37,0.67,94.96,17.67,1.64,75.66,30.67,44.98,53.39,31.92,1.2,5.44,8.06,6.66,0.95,0.95,0,5.71,2.88,2.83,93.34,3.17,96.83,88.64,80.45,45.23,20.62,7.47,65.25,0,65.25,62.34,2.91,34.75,66210,13.45,86.55,71111,0.5676,34.65,65.35,89.1,10.9,29.31,12.39,58.3,13.58,2.27,11.32,2.11,6.33,11.85,3.58,6.35,55.96,0.24,0,1952,430400,1433,92.17,10.75,29.77,24.84,13.44,7.27,4.51,1.6,7.83,24,72.22,11.13,3.33,10.63,2.69,11329,5188
19104,17747.92,50.39,2.07,2.34,1.73,1.1,23.63,7.7,3.65,3.2,2.87,1.32,0.6,0.17,49.61,2.21,1.37,1.25,0.88,22.97,7.41,3.32,2.98,3.08,2.02,1.4,0.71,20.11,19.79,5.65,14.14,79.89,8.25,6.32,65.33,32.66,32.67,79.03,11.4,1.74,3.61,4.23,4.76,0.55,0.38,0.17,4.21,2.05,2.15,95.24,19.16,80.84,59.6,33.99,16.91,7.41,4.59,37.43,0.03,37.4,33.86,3.54,62.57,18933,7.43,92.57,11598,0.6081,19.37,80.63,80.8,19.2,30.97,6.29,62.74,36.81,2.92,33.89,7.26,18.43,12.49,2.37,4.51,18.09,0.05,0,1943,97600,862,96.6,13.7,28.88,17.68,14.86,10.76,6.31,4.4,3.4,28,73.43,10.41,4.19,9.39,2.59,10007,2953
19106,14198,52.33,1.42,0.71,0.77,0.42,3.8,17.94,7.19,7.86,5.08,4.16,2.5,0.48,47.67,1.39,0.71,0.13,0.08,4.12,17.4,4.73,3.7,7.35,5.87,1.46,0.72,6.01,6.01,5,1.01,93.99,27.4,2.16,64.43,32.23,32.2,47.04,39.76,1.23,3.16,8.81,5.11,1.29,1.01,0.28,3.82,2.65,1.18,94.89,3.71,96.29,85.06,75.09,41.45,22.85,8,67.92,0.27,67.66,65.51,2.15,32.08,100653,11.5,88.5,83897,0.5136,43.83,56.17,86.17,13.83,28.21,18.02,53.77,16.46,2.32,14.13,3.7,8.52,6.95,6.83,15.2,42.22,0,0.11,1961,458500,1657,93.38,8.32,30.15,22.1,16.36,10.25,4.24,1.97,6.62,25,72.98,14.78,3.41,8.19,0.64,3944,2683
19107,22430.86,50.14,0.76,0.53,0.65,0.62,10.59,14.75,5.37,6.32,6.34,2.13,1.86,0.24,49.86,1.74,0.24,0.18,0.19,11.33,20.72,3.81,3.69,2.62,2.95,1.93,0.46,6.37,6.37,5.89,0.49,93.63,9.78,3.06,80.79,39.22,41.56,68.6,19.2,1.84,3.54,6.83,7.38,1.22,1.07,0.15,6.16,2.81,3.35,92.62,11.2,88.8,74.66,64.9,35.11,17.68,3.72,65.09,0.05,65.04,59.8,5.24,34.91,42541,5.9,94.1,35920,0.527,19.12,80.88,84.31,15.69,40.76,5.42,53.82,10.23,2.31,7.93,4.6,9.47,14.82,7.09,8.93,44.75,0.1,0,1939,294600,1108,93.12,16.02,28.19,22.21,10.94,6.18,6.77,2.8,6.88,24,66.24,14.32,5.07,11.24,3.12,5285,1251
19111,14357.77,48.54,3.75,3.85,3.36,2.29,4.58,8.48,5.89,5.98,5.38,2.52,1.55,0.92,51.46,4.32,3.61,2.39,1.76,4.84,8.51,5.85,6.1,6.42,3.03,2.65,1.99,34.65,34.32,18.41,15.9,65.35,20.68,8.98,35.7,16.42,19.28,41.81,39.87,3.02,6.7,8.61,6.66,0.19,0.11,0.08,6.47,3.65,2.82,93.34,17.46,82.54,43.25,19.01,6.75,1.31,0.34,63.62,0,63.62,54.75,8.87,36.38,43813,17.45,82.55,20206,0.4151,56.29,43.71,92.71,7.29,38.84,11.02,50.13,63.93,13.95,49.97,13.64,5.2,2.81,3.26,4.57,6.21,0.34,0.04,1956,174600,914,98.12,6.75,15.9,18.07,23.63,18.64,10.49,4.64,1.88,34,87.75,9,1.05,1.23,0.98,8558,13370
19113,28.06041,51.55,0,0,4.12,8.25,0,0,10.31,7.22,5.15,16.49,0,0,48.45,0,0,0,0,5.15,0,15.46,7.22,4.12,8.25,8.25,0,26.83,26.83,26.83,0,73.17,48.78,0,24.39,0,24.39,31.18,68.82,0,0,0,0,0,0,0,0,0,0,100,20,80,20,7.5,0,0,0,54.84,0,54.84,54.84,0,45.16,36125,29.27,70.73,27544,0.3101,56.1,43.9,61.19,38.81,50,0,50,61.19,40.3,20.9,19.4,19.4,0,0,0,0,0,0,1981,165600,,100,11.76,29.41,31.37,27.45,0,0,0,0,20,100,0,0,0,0,10,23
19114,5527.722,49.03,3.6,3.3,2.3,1.77,3.64,7.2,5.95,6.8,6.48,3.79,2.9,1.3,50.97,2.37,2.03,1.58,1.5,3.93,7.57,6.07,6.63,7.2,5.44,4.27,2.39,21.41,21.18,13.26,7.92,78.59,26.98,7.77,43.83,21.04,22.79,36.19,42.1,2.78,8.49,10.44,5.4,0.47,0.41,0.06,4.93,2.65,2.28,94.6,10.35,89.65,46.31,20.92,7.42,1.65,0.54,62.72,0.05,62.67,54.42,8.26,37.28,52342,24.47,75.53,28068,0.4287,60.82,39.18,93.58,6.42,47.89,21.6,30.51,54.94,15.46,39.48,13.98,5.17,6.18,8.78,5.53,5.15,0.29,0,1968,192400,987,98.24,6.64,20.26,20.14,18.57,19.73,8.69,4.21,1.76,33,92.46,5.32,1.43,0.73,0.05,5620,7756
19115,5789.859,48.09,3.26,1.78,2.79,1.37,3.43,6.93,5.51,6.51,6.53,5.15,2.76,2.07,51.91,2.43,2.7,2.1,1.25,3.25,6.04,6.38,6.4,8.01,5.78,4.52,3.08,22.86,22.86,15.83,7.03,77.14,28,5.62,43.52,17.09,26.43,29.17,48.9,2.11,10.98,8.83,3.27,0.07,0,0.07,3.2,1.71,1.49,96.73,14.28,85.72,52.93,28.03,9.16,2.38,0.72,60.14,0,60.14,55.06,5.08,39.86,45425,20.29,79.71,29167,0.4742,59.78,40.22,95.73,4.27,61.92,19.37,18.71,55.11,29.15,25.95,8.48,4.02,3.16,7.47,6.62,15.15,0,0,1967,233200,951,97.25,4.87,21.75,18.25,16.08,22.02,12.14,2.14,2.75,33,93.25,4.37,0.8,0.36,1.23,5898,8101
19116,6637.648,47.42,2.35,1.98,2.22,1.26,3.12,7.64,6.2,7.51,6.66,4.66,2.25,1.58,52.58,2.75,3.86,2.6,1.43,3.25,6.32,6.49,8.28,7.06,5.13,3.41,2,25.22,25.12,20.32,4.79,74.78,29.8,7.26,37.72,18.66,19.05,30.48,50.55,2.09,8.85,8.03,3.01,0.17,0.07,0.1,2.83,0.93,1.9,96.99,10.56,89.44,53.02,26.79,9.01,2.1,0.77,63.68,0,63.68,57.94,5.74,36.32,48534,18.48,81.52,26799,0.4562,59.01,40.99,95.25,4.75,43.08,19.08,37.84,56.87,26.76,30.12,19.11,4.44,4.84,4.42,3.58,6.73,0,0,1968,238800,878,97.19,4.64,27.1,19.13,15.16,16.43,12.28,2.45,2.81,31,93.71,4.44,0.86,0.28,0.71,4766,7437
